storeId,SMName,RMName,date,NSV,brandCode
1001,Gurunanak Enterprises,PEM VALUE STORE,2024-01-01,111,BR1044
1002,SALASAR TRADING COMPANY,AMERICAN EAGLE VALUE STORE,2024-01-02,222,BR1110
1003,Addon Holding Pvt. Ltd,LOUIS PHILIPPE,2024-01-03,333,BR1176
1004,P Dharmendra,SIMON CARTER VALUE STORE,2024-01-04,444,BR1242
1005,A B Traders,FOREVER 21,2024-01-05,555,BR1308
1006,Keya Apparels,REEBOK VALUE,2024-01-06,666,BR1374
1007,CHAITANYA STYLE HOUSE,ALLEN SOLLY,2024-01-07,777,BR1440
1008,Sri Lakshmi Enterprises,LP ALL STAR,2024-01-08,888,BR1506
1009,Haarish Readymades,VAN HEUSEN VALUE STORE,2024-01-09,999,BR1572
1010,Tejha Retail,AS PRIME,2024-01-10,1110,BR1638
